Source,mass,mass_err,spin,spin_up,spin_down,L_x,err_L_x,edd_ratio,err_edd_ratio,type,z
Mrk359,1.1,0.55,0.66,0.3,-0.54,3,std,0.08,std,NLSy1,0.017
MGC-06,2.9,1.6,0.65,0.33,0,8.3,4.3,0.08,std,NLSy1,0.008
NGC5506,5.1,1.18,0.93,0.04,-0.04,8.5,2.5,0.4,std,NLSy1,0.006
SwiftJ2127,15,7.5,0.72,0.14,-0.2,9.6,0.2,0.14,0.03,Sy1,0.015
IRAS09149-6206,100,50,0.94,0.02,-0.07,175,15,0.4,std,Sy1,0.057
Fairall9,255,56,0.71,0.08,-0.09,240,std,0.15,std,Sy1,0.047
Q2237+305,1200,600,0.74,0.06,-0.03,1.30E+03,std,0.01,std,LenQ,1.695
Mrk766,1.8,1.5,0.92,0.08,0,7.8,4.8,0.04,0.02,NLSy1,0.013
Mrk1501,184,27,0.97,0.03,0,140,std,0.1,std,Sy1,0.089
NGC4151,1.91,0.78,0.99,0.01,0,5,std,0.05,0.035,Sy1.5,0.003
NGC1365,2,1,0.97,0.018,0,1.3,1.3,0.03,0.01,Sy1,0.006
1H0707,3,1,0.97,0.018,0,na,std,0.75,0.25,NLSy1,0.041
IRAS13224-3809,6.3,3,0.975,0.025,0,6.82E+00,std,0.32,0.05,NLSy1,0.066
Tons180,8.1,4,0.98,0.02,0,18,std,0.75,0.25,NLSy1,0.062
ESO362–G18,12.5,4.5,0.92,0.08,0,3.5,1.5,0.02,std,NLSy1,0.012
Mrk335,17.8,4,0.99,0.01,0,16,8,0.02,0.015,NLSy1,0.027
Mrk110,25.1,6.1,0.89,0.11,0,50,std,0.1,std,NLSy1,0.035
NGC3783,29.8,5.4,0.88,0.12,0,19.9,8.1,0.06,0.01,Sy1,0.01
1H0323+342,34,9,0.9,0.1,0,25,std,0.18,std,NLSy1,0.061
NGC4151,46,5,0.9,0.1,0,5,std,0.5,std,Sy1,0.003
IRAS00521-7054,50,10,0.77,0.23,0,4.00E+01,std,1.,std,Sy2,0.069
Mrk79,52.4,14.4,0.5,0.498,0,62.6,37.4,0.033,0.003,Sy1.2,0.033
IRAS13197-1627,64,32,0.7,0.3,0,240,120,0.05,0.025,Sy1.8,0.016
3C120,69,31,0.95,0.05,0,120,std,0.77,std,RLQ,0.033
Mrk841,79,40,0.52,0.48,0,125,75,0.073,std,RQSy1,0.036
Fairall51,100,50,0.75,0.25,0.,14.2,3.4,0.025,std,Sy1,0.014
Ark120,150,19,0.68,0.318,-0.06,2420,std,0.24,0.08,Sy1,0.033
RBS1124,180,90,0.8,0.2,0,600,std,0.145,std,RQQ,0.208
1H0419-577,340,170,0.98,0.02,0,315,70,0.39,0.09,RQSy1,0.104
PG2112+059,1000,200,0.83,0.17,0,73,53,0.08,std,Sy1,0.459
ESO033-G022,31.62,7.92,0.96,0.04,0,5,std,0.02,std,RQSy2,0.018
PG1229+204,57,25,0.93,0.06,-0.02,25,std,0.002,std,Sy1,0.064
PG0804+761,550,60,0.97,0.03,0.,208,20,0.4,std,Sy1,0.1
PG1426+015,1013.101261,305.1554771,0.7,0.298,0,126,std,0.04,std,Sy1,0.087
PG1535+547,14.79108388,7.24,0.99,0.008,0,4,std,0.3125,std,NLSy1,0.038
RXJ1131,140,70,0.87,0.08,-0.15,100,std,0.07,std,LenQ,0.658
Ark654,2.95,1.95,0.9,0.098,0.,20,std,na,na,NLSy1,0.025
H1821+643,3000,1500,0.62,0.22,-0.37,3390,std,0.39,0.2,RqQ,0.299
Mrk1044,2.82,0.80,0.9,0.098,0.,8.6,0.8,0.34,0.09,NLSy1,0.106
