source,Source,a,erraUp,erraDown,Mbh_1e5,Mbh_1e5_lerr,Mbh_1e5_uerr,Lx_1e41,errLx_1e41,Kbol,errKbolDown,errKbolUp,LambdaEdd,LambdaEddDown,LambdaEddUp,Class,z
J010712.03+140844.9,J0107,0.868917,0.239665,-0.0783109,15.848925,7.905649,15.773853,31.3,0.7,20,7,7,0.28,0.19,0.48,NLSy1,0.077
J022849.51-090153.7,J0228,0.820341,0.086516,-0.163806,3.1622777,1.5773852,3.1472983,18.4,0.7,18,6,6,0.75,0.5,1.24,BLSy1,0.072
J094057.19+032401.2,J0940,0.995975,0.0149728,-0.00153433,15.848925,7.905649,15.773853,37.7,0.8,21,7,7,0.36,0.24,0.59,NLSy1,0.061
J102348.44+040553.7,J1023,0.527361,0.15391,-0.393001,5.01187,2.4999857,4.98813,12.8,0.2,16,5,6,0.29,0.19,0.51,NLSy1,0.099
J114008.71+030711.4,J1140,0.97512,0.0164094,-0.0119583,12.5892515,6.279682,12.529618,38.2,0.3,21,8,7,0.45,0.31,0.76,NLSy1,0.081
J134738.23+474301.9,J1347,0.764806,0.433161,-0.18835,10,4.98813,9.952633,33.0,0.5,20,7,7,0.47,0.32,0.80,NLSy1,0.064
J135724.52+652505.8,J1357,0.347495,0.09,-0.154664,15.848925,7.905649,15.773853,83.5,1.9,26,9,9,1.0,0.7,1.7,NLSy1,0.106
J143450.62+033842.5,J1434,0.633591,0.445761,-0.2682,6.309576,3.1472983,6.279689,3.0,0.1,13,4,5,0.04,0.03,0.08,Sy1,0.028
J154150.85+310037.2,J1541,0.909393,0.214877,-0.0734362,15.848925,7.905649,15.773853,37.5,1.2,21,8,7,0.35,0.24,0.59,BLSy1,0.068
J155909.62+350147.4,J1559,0.998,0.0229695,-0,15.848925,7.905649,15.773853,40.1,0.1,21,7,7,0.38,0.25,0.63,NLSy1,0.031
J162636.40+350242.0,J1626,0.676386,0.214606,-0.284417,5.01187,2.4999857,4.98813,3.8,0.2,14,5,4,0.08,0.05,0.12,Sy1.5,0.034
J163159.59+243740.2,J1631,0.74355,0.188025,-0.161591,6.309576,3.1472983,6.279689,3.1,0.2,13,4,5,0.05,0.03,0.08,BLSy1,0.043
POX52,POX52,0.55814,0.461156,-0.356779,3.2,1,1,4.8,0.1,14,5,5,0.15,0.08,0.15,Sy1.8,0.021
